datetime,username,tweet,tweet_cleaned,tweet_tokens,normalization
2022-04-18 05:00:00+00:00,hedzus,"Kini DPR sahkan RUU TPKS jadi UU guys, Puan Maharani menangis terharu #PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/bBPNJulWrH",kini dpr sahkan ruu tpks jadi uu guys  puan maharani menangis terharu  puan pahlawan uutpks ,"['kini', 'dpr', 'sahkan', 'ruu', 'tpks', 'jadi', 'uu', 'guys', 'puan', 'maharani', 'menangis', 'terharu', 'puan', 'pahlawan', 'uutpks']","['kini', 'dpr', 'sahkan', 'ruu', 'tpks', 'jadi', 'uu', 'teman-teman', 'puan', 'maharani', 'menangis', 'terharu', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,T1ut1u,"Puan Maharani, penuhi harapan kaum perempuan
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/xhTTkEqZQm",puan maharani  penuhi harapan kaum perempuan  puan pahlawan uutpks ,"['puan', 'maharani', 'penuhi', 'harapan', 'kaum', 'perempuan', 'puan', 'pahlawan', 'uutpks']","['puan', 'maharani', 'penuhi', 'harapan', 'kaum', 'perempuan', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,f3iffel09,"Teruslah bertransformasi dalam membangun peradaban baru. #PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/tAuYwkTvPw",teruslah bertransformasi dalam membangun peradaban baru   puan pahlawan uutpks ,"['teruslah', 'bertransformasi', 'dalam', 'membangun', 'peradaban', 'baru', 'puan', 'pahlawan', 'uutpks']","['teruslah', 'bertransformasi', 'dalam', 'membangun', 'peradaban', 'baru', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,agiatroo,"Menurutnya, pengesahan beleid ini adalah tanda dimulainya peradaban baru Indonesia untuk mencegah berbagai bentuk kekerasan seksual yang sudah darurat #PerempuanBisa Puan Pahlawan UUTPKS https://t.co/H2ZHON8p41",menurutnya  pengesahan beleid ini adalah tanda dimulainya peradaban baru indonesia untuk mencegah berbagai bentuk kekerasan seksual yang sudah darurat  puan pahlawan uutpks ,"['menurutnya', 'pengesahan', 'beleid', 'ini', 'adalah', 'tanda', 'dimulainya', 'peradaban', 'baru', 'indonesia', 'untuk', 'mencegah', 'berbagai', 'bentuk', 'kekerasan', 'seksual', 'yang', 'sudah', 'darurat', 'puan', 'pahlawan', 'uutpks']","['menurutnya', 'pengesahan', 'beleid', 'ini', 'adalah', 'tanda', 'dimulainya', 'peradaban', 'baru', 'indonesia', 'untuk', 'mencegah', 'berbagai', 'bentuk', 'kekerasan', 'seksual', 'yang', 'sudah', 'darurat', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,Rizalriki2,"Bu Puan emang keren

#PerempuanBisa
Puan Pahlawan UUTPKS",bu puan emang keren   puan pahlawan uutpks,"['bu', 'puan', 'emang', 'keren', 'puan', 'pahlawan', 'uutpks']","['bu', 'puan', 'memang', 'keren-keren', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,akupastibisa09,"""teruslah bertransformasi untuk membangun peradaban."" Puan Maharani.
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/iNv3nlX7gf", teruslah bertransformasi untuk membangun peradaban   puan maharani   puan pahlawan uutpks ,"['teruslah', 'bertransformasi', 'untuk', 'membangun', 'peradaban', 'puan', 'maharani', 'puan', 'pahlawan', 'uutpks']","['teruslah', 'bertransformasi', 'untuk', 'membangun', 'peradaban', 'puan', 'maharani', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,naz12ura,"Puan Maharani secara resmi telah meresmikan RUU TPKS menjadi UU TPKS, hadiah buat kita semua. Bangga banget asli. #PerempuanBisa https://t.co/98M2rQtakg Puan Pahlawan UUTPKS",puan maharani secara resmi telah meresmikan ruu tpks menjadi uu tpks  hadiah buat kita semua  bangga banget asli   puan pahlawan uutpks,"['puan', 'maharani', 'secara', 'resmi', 'telah', 'meresmikan', 'ruu', 'tpks', 'menjadi', 'uu', 'tpks', 'hadiah', 'buat', 'kita', 'semua', 'bangga', 'banget', 'asli', 'puan', 'pahlawan', 'uutpks']","['puan', 'maharani', 'secara', 'resmi', 'telah', 'meresmikan', 'ruu', 'tpks', 'menjadi', 'uu', 'tpks', 'hadiah', 'buat', 'kita', 'semua', 'bangga', 'banget', 'asli', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,breskaayu,"Seneng banget upaya mereka tidak sia sia, dapat apresiasi pula 
#PerempuanBisa
Puan Pahlawan UUTPKS
 https://t.co/YgivTNZZGl",seneng banget upaya mereka tidak sia sia  dapat apresiasi pula   puan pahlawan uutpks  ,"['seneng', 'banget', 'upaya', 'mereka', 'tidak', 'sia', 'sia', 'dapat', 'apresiasi', 'pula', 'puan', 'pahlawan', 'uutpks']","['senang', 'banget', 'upaya', 'mereka', 'tidak', 'sia', 'sia', 'dapat', 'apresiasi', 'pula', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,krayonmewarnai,"aku sih seneng banget bisa ada uu tpks yang lahir sebagai bentuk perlindungan kepada perempuan
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/JT0669UCgk",aku sih seneng banget bisa ada uu tpks yang lahir sebagai bentuk perlindungan kepada perempuan  puan pahlawan uutpks ,"['aku', 'sih', 'seneng', 'banget', 'bisa', 'ada', 'uu', 'tpks', 'yang', 'lahir', 'sebagai', 'bentuk', 'perlindungan', 'kepada', 'perempuan', 'puan', 'pahlawan', 'uutpks']","['aku', 'sih', 'senang', 'banget', 'bisa', 'ada', 'uu', 'tpks', 'yang', 'lahir', 'sebagai', 'bentuk', 'perlindungan', 'kepada', 'perempuan', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,Seulgii23,"Ketua DPR Puan Maharani meneteskan air mata saat dia mengesahkan rancangan undang-undang Tindak Pidana Kekerasan Seksual (RUU TPKS).
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/kNvpLWDIbx",ketua dpr puan maharani meneteskan air mata saat dia mengesahkan rancangan undang undang tindak pidana kekerasan seksual  ruu tpks    puan pahlawan uutpks ,"['ketua', 'dpr', 'puan', 'maharani', 'meneteskan', 'air', 'mata', 'saat', 'dia', 'mengesahkan', 'rancangan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'ruu', 'tpks', 'puan', 'pahlawan', 'uutpks']","['ketua', 'dpr', 'puan', 'maharani', 'meneteskan', 'air', 'mata', 'saat', 'dia', 'mengesahkan', 'rancangan', 'undang', 'undang', 'tindak', 'pidana', 'kekerasan', 'seksual', 'ruu', 'tpks', 'puan', 'pahlawan', 'uutpks']"
2022-04-18 05:00:00+00:00,rosellamsi,"Siti Zuhro menguatkan dukungan untuk Puan Maharani dan berharap agar hubungan baik yang telah dijalin  antara PDIP dan muslimat NU tetap terawat
#PerempuanBisa
Puan Pahlawan UUTPKS https://t.co/QtMyOOl8MQ",siti zuhro menguatkan dukungan untuk puan maharani dan berharap agar hubungan baik yang telah dijalin  antara pdip dan muslimat nu tetap terawat  puan pahlawan uutpks ,"['siti', 'zuhro', 'menguatkan', 'dukungan', 'untuk', 'puan', 'maharani', 'dan', 'berharap', 'agar', 'hubungan', 'baik', 'yang', 'telah', 'dijalin', 'antara', 'pdip', 'dan', 'muslimat', 'nu', 'tetap', 'terawat', 'puan', 'pahlawan', 'uutpks']","['siti', 'zuhro', 'menguatkan', 'dukungan', 'untuk', 'puan', 'maharani', 'dan', 'berharap', 'agar', 'hubungan', 'baik', 'yang', 'telah', 'dijalin', 'antara', 'pdip', 'dan', 'muslimat', 'nu', 'tetap', 'terawat', 'puan', 'pahlawan', 'uutpks']"
