datetime,username,tweet;;;;;;;;
"2022-04-18 23:48:54+00:00,KabarBanten72,""UU TPKS Disahkan, Berikut 6 Poin Penting dari Permendikbudristek https://t.co/rtxsuhD4ox""";;;;;;;;
"2022-04-18 22:32:56+00:00,Akunkuopiniku,""@rizkiwulandani @byeoreum @tegarfr__ @dikignwn @Wirogendheng88 @tubirfess UU TPKS dan kenaikan usia menikah aja udah ngebuktiin ini salah, child marriage itu dihalalkan di islam. Sedangkan batas usia pernikahan itu 19 disini""";;;;;;;;
"2022-04-18 21:41:24+00:00,Mat16_16,""Kerja lamban.";;;;;;;;
;;;;;;;;
Bikin UU utk melindungi perempuan dr kejahatan sexual kok butuh waktu 10 thn.;;;;;;;;
Itupun stlh didemo berkali2.;;;;;;;;
;;;;;;;;
BEM SI;;;;;;;;
BEM UI;;;;;;;;
#perempuanbisa;;;;;;;;
DPR RI;;;;;;;;
Joko Widodo;;;;;;;;
PDIP;;;;;;;;
Polri;;;;;;;;
UU TPKS;;;;;;;;
detikNews;;;;;;;;
Komnas Perempuan;;;;;;;;
Partai Demokrat;;;;;;;;
Susi Pudjiastuti;;;;;;;;
Yenny Wahid;;;;;;;;
"Mata Najwa https://t.co/WKBPEwDRce""";;;;;;;;
"2022-04-18 09:09:47+00:00,Virdhansyah1,""Seiring dengan pengesahan UU Tindak Pidana Kekerasan Seksual (TPKS) Menteri BUMN Erick Thohir menegaskan tidak akan mentolerir tindakan kekerasan dan pelecehan seks di BUMN";;;;;;;;
;;;;;;;;
@erickthohir;;;;;;;;
"#ErickThohirSolusiRakyat https://t.co/VMY1A57BR7""";;;;;;;;
"2022-04-18 09:08:50+00:00,HaiMagazine,""UU TPKS Disahkan, Berikut Tindakan yang Tergolong Pelecehan Seksual https://t.co/h1SyHylrWQ""";;;;;;;;
2022-04-18 09:06:10+00:00,seiiholic,plislah kalo lo compare uu tpks sm uu pidana pemerkosaan itu beda bgt;;;;;;;;
"2022-04-18 09:06:10+00:00,izlwhd,""Supermodel Bella Hadid Geram Setiap Posting-annya soal Palestina Diblokir Instagram";;;;;;;;
;;;;;;;;
"Happy Easter RESPECT BLACKPINK Puan Pahlawan UUTPKS Kelas 10 Senin 2ne1 https://t.co/R8vasPwaER""";;;;;;;;
"2022-04-18 08:56:02+00:00,BenLazuardy,""“Hadiah bagi seluruh rakyat Indonesia dan kemajuan bangsa kita, karena UU TPKS adalah hasil kerja sama bersama sekaligus komitmen bersama kita,” –Puan Maharani https://t.co/wNtr0L719I""";;;;;;;;
